year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,pct_cultivated,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation_x,precip_variation_y
2000,KSGS.372043101363101,227.26,69.268848,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,588.628,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2001,KSGS.372043101363101,228.25,69.5706,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,565.834,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2002,KSGS.372043101363101,230.64,70.299072,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,522.828,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2003,KSGS.372043101363101,229.63,69.991224,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,592.707,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2004,KSGS.372043101363101,231.16,70.457568,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,502.338,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2005,KSGS.372043101363101,229.91,70.076568,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,599.369,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2006,KSGS.372043101363101,229.29,69.887592,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,469.646,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2007,KSGS.372043101363101,231.51,70.564248,37.34495,-101.6104,USGS,Southern Kansas,,1,2.0,552.664,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2008,KSGS.372043101363101,232.78,70.951344,37.34495,-101.6104,USGS,Southern Kansas,32.9660238751148,1,2.0,365.661,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2009,KSGS.372043101363101,233.46,71.158608,37.34495,-101.6104,USGS,Southern Kansas,42.9752066115703,1,2.0,538.224,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2010,KSGS.372043101363101,233.45,71.15556,37.34495,-101.6104,USGS,Southern Kansas,51.2396694214876,1,2.0,557.917,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2011,KSGS.372043101363101,236.4,72.05472,37.34495,-101.6104,USGS,Southern Kansas,70.7070707070707,1,2.0,356.146,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2012,KSGS.372043101363101,237.36,72.347328,37.34495,-101.6104,USGS,Southern Kansas,55.3719008264463,1,2.0,493.179,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2013,KSGS.372043101363101,238.36,72.652128,37.34495,-101.6104,USGS,Southern Kansas,28.8337924701561,1,2.0,498.681,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2014,KSGS.372043101363101,239.88,73.115424,37.34495,-101.6104,USGS,Southern Kansas,53.2598714416896,1,2.0,432.706,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2015,KSGS.372043101363101,239.29,72.935592,37.34495,-101.6104,USGS,Southern Kansas,54.6372819100092,1,2.0,599.275,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2016,KSGS.372043101363101,240.05,73.16724,37.34495,-101.6104,USGS,Southern Kansas,28.8337924701561,1,2.0,556.907,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2017,KSGS.372043101363101,241.06,73.475088,37.34495,-101.6104,USGS,Southern Kansas,78.0532598714417,1,2.0,659.045,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2018,KSGS.372043101363101,239.585,73.025508,37.34495,-101.6104,USGS,Southern Kansas,50.5050505050505,1,2.0,585.233,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2019,KSGS.372043101363101,240.12,73.188576,37.34495,-101.6104,USGS,Southern Kansas,51.5151515151515,1,2.0,533.298,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2020,KSGS.372043101363101,237.78,72.475344,37.34495,-101.6104,USGS,Southern Kansas,50.3213957759412,1,2.1,406.69,522.7131428571429,514.42303,1.016115351822309,1.7827389975064516,1.7827389975064516
2000,KSGS.372539100142504,65.97,20.107656,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,837.124,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2001,KSGS.372539100142504,68.68,20.933664,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,771.825,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2002,KSGS.372539100142504,74.66,22.756368,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,826.129,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2003,KSGS.372539100142504,77.68,23.676864,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,850.929,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2004,KSGS.372539100142504,79.49,24.228552,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,794.363,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2005,KSGS.372539100142504,79.03,24.088344,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,874.274,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2006,KSGS.372539100142504,76.73,23.387304,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,846.391,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2007,KSGS.372539100142504,75.9,23.13432,37.42949,-100.2434,USGS,Southern Kansas,,1,2.0,848.227,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2008,KSGS.372539100142504,83.14,25.341072,37.42949,-100.2434,USGS,Southern Kansas,82.4609733700643,1,2.0,871.003,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2009,KSGS.372539100142504,89.28,27.212544,37.42949,-100.2434,USGS,Southern Kansas,92.1028466483012,1,2.0,841.823,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2010,KSGS.372539100142504,94.36,28.760928,37.42949,-100.2434,USGS,Southern Kansas,68.1359044995409,1,2.0,774.517,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2011,KSGS.372539100142504,99.13,30.214824,37.42949,-100.2434,USGS,Southern Kansas,92.5619834710744,1,2.0,757.734,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2012,KSGS.372539100142504,110.94,33.814512,37.42949,-100.2434,USGS,Southern Kansas,87.2359963269054,1,2.0,801.762,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2013,KSGS.372539100142504,115.61,35.237928,37.42949,-100.2434,USGS,Southern Kansas,72.6354453627181,1,2.0,755.693,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2014,KSGS.372539100142504,119.38,36.387024,37.42949,-100.2434,USGS,Southern Kansas,86.0422405876951,1,2.0,774.15,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2015,KSGS.372539100142504,122.245,37.260276,37.42949,-100.2434,USGS,Southern Kansas,93.2047750229568,1,2.0,928.367,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2016,KSGS.372539100142504,122.55,37.35324,37.42949,-100.2434,USGS,Southern Kansas,71.8089990817264,1,2.0,786.719,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2017,KSGS.372539100142504,122.4,37.30752,37.42949,-100.2434,USGS,Southern Kansas,87.6951331496786,1,2.0,832.988,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2018,KSGS.372539100142504,123.6,37.67328,37.42949,-100.2434,USGS,Southern Kansas,93.1129476584022,1,2.0,876.987,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2019,KSGS.372539100142504,124.62,37.984176,37.42949,-100.2434,USGS,Southern Kansas,89.1643709825528,1,2.0,881.512,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2020,KSGS.372539100142504,126.95,38.69436,37.42949,-100.2434,USGS,Southern Kansas,69.1460055096419,1,2.1,895.606,829.910619047619,605.14417,1.3714262930950472,1.7319166635335688,1.7319166635335688
2000,KSGS.373331098033301,20.15,6.14172,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,815.058,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2001,KSGS.373331098033301,18.86,5.748528,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,733.747,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2002,KSGS.373331098033301,19.22,5.858256,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,810.19,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2003,KSGS.373331098033301,19.44,5.925312,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,839.825,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2004,KSGS.373331098033301,19.24,5.864352,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,852.16,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2005,KSGS.373331098033301,19.4,5.91312,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,885.136,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2006,KSGS.373331098033301,19.34,5.894832,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,885.744,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2007,KSGS.373331098033301,19.57,5.964936,37.56096,-98.058,USGS,Southern Kansas,,1,2.0,844.368,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2008,KSGS.373331098033301,18.51,5.641848,37.56096,-98.058,USGS,Southern Kansas,77.0431588613407,1,2.0,888.12,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2009,KSGS.373331098033301,18.34,5.590032,37.56096,-98.058,USGS,Southern Kansas,76.5840220385675,1,2.0,844.648,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2010,KSGS.373331098033301,18.71,5.702808,37.56096,-98.058,USGS,Southern Kansas,81.267217630854,1,2.0,852.345,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2011,KSGS.373331098033301,19.29,5.879592,37.56096,-98.058,USGS,Southern Kansas,80.5325987144169,1,2.0,813.187,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2012,KSGS.373331098033301,21.65,6.59892,37.56096,-98.058,USGS,Southern Kansas,78.5123966942149,1,2.0,863.526,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2013,KSGS.373331098033301,22.8,6.94944,37.56096,-98.058,USGS,Southern Kansas,78.5123966942149,1,2.0,941.207,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2014,KSGS.373331098033301,22.08,6.729984,37.56096,-98.058,USGS,Southern Kansas,66.7584940312213,1,2.0,911.339,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2015,KSGS.373331098033301,23.65,7.20852,37.56096,-98.058,USGS,Southern Kansas,79.7979797979798,1,2.0,874.294,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2016,KSGS.373331098033301,23.14,7.053072,37.56096,-98.058,USGS,Southern Kansas,80.4407713498623,1,2.0,956.442,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2017,KSGS.373331098033301,22.4,6.82752,37.56096,-98.058,USGS,Southern Kansas,83.9302112029385,1,2.0,892.372,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2018,KSGS.373331098033301,22.82,6.955536,37.56096,-98.058,USGS,Southern Kansas,83.1955922865014,1,2.0,872.35,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2019,KSGS.373331098033301,21.65,6.59892,37.56096,-98.058,USGS,Southern Kansas,83.9302112029385,1,2.0,797.384,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2020,KSGS.373331098033301,21.44,6.534912,37.56096,-98.058,USGS,Southern Kansas,84.9403122130395,1,2.1,902.808,860.7738095238095,929.1804,0.9263796256018642,1.7883353495721557,1.7883353495721555
2000,KSGS.373607100565301,380.865,116.087652,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,786.998,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2001,KSGS.373607100565301,382.68,116.640864,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,550.935,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2002,KSGS.373607100565301,385.21,117.412008,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,598.911,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2003,KSGS.373607100565301,389.05,118.58244,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,655.148,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2004,KSGS.373607100565301,390.1,118.90248,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,587.481,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2005,KSGS.373607100565301,391.29,119.265192,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,704.394,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2006,KSGS.373607100565301,390.58,119.048784,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,425.811,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2007,KSGS.373607100565301,393.6,119.96928,37.59874,-100.9497,USGS,Southern Kansas,,1,2.0,744.738,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2008,KSGS.373607100565301,393.69,119.996712,37.59874,-100.9497,USGS,Southern Kansas,37.8328741965106,1,2.0,493.76,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2009,KSGS.373607100565301,396.49,120.850152,37.59874,-100.9497,USGS,Southern Kansas,43.4343434343434,1,2.0,583.641,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2010,KSGS.373607100565301,398.76,121.542048,37.59874,-100.9497,USGS,Southern Kansas,76.0330578512397,1,2.0,664.186,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2011,KSGS.373607100565301,401.25,122.301,37.59874,-100.9497,USGS,Southern Kansas,4.95867768595041,1,2.0,347.829,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2012,KSGS.373607100565301,406.43,123.879864,37.59874,-100.9497,USGS,Southern Kansas,75.941230486685,1,2.0,468.14,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2013,KSGS.373607100565301,408.64,124.553472,37.59874,-100.9497,USGS,Southern Kansas,43.2506887052342,1,2.0,514.308,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2014,KSGS.373607100565301,409.71,124.879608,37.59874,-100.9497,USGS,Southern Kansas,40.6795224977043,1,2.0,549.624,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2015,KSGS.373607100565301,413.2,125.94336,37.59874,-100.9497,USGS,Southern Kansas,47.6584022038567,1,2.0,701.255,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2016,KSGS.373607100565301,412.59,125.757432,37.59874,-100.9497,USGS,Southern Kansas,45.2708907254362,1,2.0,660.272,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2017,KSGS.373607100565301,413.23,125.952504,37.59874,-100.9497,USGS,Southern Kansas,77.5941230486685,1,2.0,744.446,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2018,KSGS.373607100565301,415.94,126.778512,37.59874,-100.9497,USGS,Southern Kansas,46.0055096418733,1,2.0,686.46,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2019,KSGS.373607100565301,417.43,127.232664,37.59874,-100.9497,USGS,Southern Kansas,45.3627180899908,1,2.0,676.159,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2020,KSGS.373607100565301,418.91,127.683768,37.59874,-100.9497,USGS,Southern Kansas,78.9715335169881,1,2.1,797.334,616.277619047619,523.9862,1.1761332873394368,1.8702666980996765,1.8702666980996763
2000,KSGS.374111099070401,32.2,9.81456,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,822.443,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2001,KSGS.374111099070401,32.14,9.796272,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,709.039,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2002,KSGS.374111099070401,33.53,10.219944,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,848.656,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2003,KSGS.374111099070401,35.78,10.905744,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,764.842,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2004,KSGS.374111099070401,37.57,11.451336,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,766.267,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2005,KSGS.374111099070401,38.78,11.820144,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,746.483,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2006,KSGS.374111099070401,38.9,11.85672,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,765.719,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2007,KSGS.374111099070401,41.525,12.65682,37.68448,-99.1192,USGS,Southern Kansas,,1,2.0,861.3,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2008,KSGS.374111099070401,39.93,12.170664,37.68448,-99.1192,USGS,Southern Kansas,63.0853994490358,1,2.0,742.904,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2009,KSGS.374111099070401,38.57,11.756136,37.68448,-99.1192,USGS,Southern Kansas,64.7382920110193,1,2.0,748.407,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2010,KSGS.374111099070401,37.81,11.524488,37.68448,-99.1192,USGS,Southern Kansas,66.2993572084481,1,2.0,904.933,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2011,KSGS.374111099070401,38.55,11.75004,37.68448,-99.1192,USGS,Southern Kansas,63.8200183654729,1,2.0,818.962,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2012,KSGS.374111099070401,41.22,12.563856,37.68448,-99.1192,USGS,Southern Kansas,60.514233241506,1,2.0,844.143,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2013,KSGS.374111099070401,42.61,12.987528,37.68448,-99.1192,USGS,Southern Kansas,60.8815426997245,1,2.0,861.178,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2014,KSGS.374111099070401,42.88,13.069824,37.68448,-99.1192,USGS,Southern Kansas,54.6372819100092,1,2.0,830.726,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2015,KSGS.374111099070401,43.57,13.280136,37.68448,-99.1192,USGS,Southern Kansas,61.6161616161616,1,2.0,720.563,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2016,KSGS.374111099070401,44.1,13.44168,37.68448,-99.1192,USGS,Southern Kansas,60.6060606060606,1,2.0,865.92,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2017,KSGS.374111099070401,44.46,13.551408,37.68448,-99.1192,USGS,Southern Kansas,60.0550964187328,1,2.0,769.844,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2018,KSGS.374111099070401,45.0,13.716,37.68448,-99.1192,USGS,Southern Kansas,61.2488521579431,1,2.0,846.925,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2019,KSGS.374111099070401,43.57,13.280136,37.68448,-99.1192,USGS,Southern Kansas,60.6978879706152,1,2.0,793.416,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2020,KSGS.374111099070401,42.68,13.008864,37.68448,-99.1192,USGS,Southern Kansas,61.3406795224977,1,2.1,787.575,800.9640476190476,737.7849,1.0856335423410048,1.84814602085166,1.8481460208516598
2000,KSGS.374125100344101,152.38,46.445424,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,801.18,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2001,KSGS.374125100344101,157.46,47.993808,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,775.31,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2002,KSGS.374125100344101,161.79,49.313592,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,861.423,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2003,KSGS.374125100344101,168.98,51.505104,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,753.081,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2004,KSGS.374125100344101,174.76,53.266848,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,713.383,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2005,KSGS.374125100344101,180.21,54.928008,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,873.423,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2006,KSGS.374125100344101,186.38,56.808624,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,747.433,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2007,KSGS.374125100344101,193.52,58.984896,37.69024,-100.5795,USGS,Southern Kansas,,1,2.0,831.084,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2008,KSGS.374125100344101,199.385,60.772548,37.69024,-100.5795,USGS,Southern Kansas,73.0027548209366,1,2.0,772.252,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2009,KSGS.374125100344101,205.82,62.733936,37.69024,-100.5795,USGS,Southern Kansas,83.287419651056,1,2.0,781.743,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
2010,KSGS.374125100344101,212.69,64.827912,37.69024,-100.5795,USGS,Southern Kansas,69.7887970615243,1,2.0,758.218,795.1503809523809,576.21246,1.3799603991375406,1.726987618996077,1.726987618996077
